fingerprint_bit,importance
1452,0.002802363408152088
314,0.0027749103381740103
1280,0.0027654837240365117
378,0.0026893483896615706
695,0.0026746609170658665
1449,0.002662573531922405
1752,0.002629364091900254
1928,0.0026107484242381862
1027,0.002607242698293104
1349,0.0025968243406379403
388,0.0025841948555173594
641,0.0025807333856043956
1526,0.0025290572472021987
675,0.002518918601790153
747,0.002518614051105398
1522,0.002514531081842969
1457,0.0025095061628282256
162,0.002463557086338043
1243,0.0024597442326464328
1480,0.002397720430839155
950,0.0023692818458964674
1855,0.0023545623891149167
197,0.00235340726370723
1379,0.0023191632144732898
379,0.0023084718816405066
699,0.002300696721001166
1665,0.0022894169730474498
1057,0.0022791973330019023
703,0.0022748346971998754
1088,0.0022478887100882026
116,0.002233447391798821
802,0.002230694404978383
1590,0.0022017260030722597
322,0.0021922160514835907
739,0.0021678914302789482
656,0.002166479175942951
249,0.0021516226346923743
564,0.0021456346439323627
8,0.0021381017735975063
294,0.002103457337884987
1115,0.002094704935641543
1683,0.002059033871272816
222,0.0020519780253754265
1804,0.00202537160450823
896,0.0020061378174104066
828,0.0019913990530752166
486,0.00197849494498491
1261,0.00196466326473766
848,0.0019591566800455738
794,0.0019380133382099715
1670,0.00193626297519741
1026,0.0019343936245709925
1279,0.0019005067120277605
1385,0.0018998933408769288
52,0.001890176871016871
484,0.0018790211753978994
1182,0.0018748248848469472
694,0.0018714595638339362
1070,0.0018683451085912187
1156,0.0018580164002084234
811,0.0018464327292146542
1453,0.00184254354027438
585,0.0018343300557255471
684,0.0018244286154094527
1114,0.0018119160274868709
1876,0.0018071541171206123
392,0.001780396983923187
1292,0.001747886462405854
1417,0.001743090114997891
1011,0.0017243621793464534
816,0.0017161755367975878
1939,0.0016952807996163308
1487,0.0016855427303343836
1697,0.0016781271715309277
1607,0.0016517525063116567
845,0.0016502287848082792
1888,0.0016444263791008306
809,0.0016435876965818974
1338,0.0016230230938291004
974,0.0015914550932830706
265,0.0015890323036581709
1164,0.0015685875969497288
984,0.0015685182895264149
1980,0.0015634011060317308
1783,0.0015506901182527509
165,0.00155047837219521
26,0.001534929314565922
1920,0.001529210242012962
1602,0.001522500304465686
216,0.0014965221724855032
366,0.0014953147009934406
1389,0.001473324057258312
2010,0.001444324899022197
14,0.0014385193767230203
556,0.0014315374035000098
1612,0.001424271268713251
1,0.0014202918073672834
592,0.0014166043320275247
204,0.0014144717220879958
1249,0.0014015518370339034
718,0.0013903644850422519
1573,0.0013842356595215343
1245,0.0013752540272301498
885,0.001354908591089464
1892,0.001350554957448932
602,0.0013404777697198374
881,0.001340144506986443
1935,0.0013342335196511752
1312,0.0013339343992911407
259,0.0013194047648647184
60,0.0013080575110746603
890,0.0013079832743101236
1806,0.001304635190111898
806,0.0012970307591652402
1034,0.0012857772370501591
1420,0.0012769974049928706
1257,0.001248804793417374
1154,0.0012464698079252387
869,0.001245627490304971
145,0.001245548144509978
1769,0.0012309297811568772
987,0.0012162351743006644
202,0.001211748719756516
255,0.0012108824802417831
1950,0.0012025365521680003
901,0.0011968466647170654
956,0.001195253524696917
1604,0.0011823845679684029
1937,0.001180226450754952
713,0.0011801612441878497
2045,0.001167691780539995
1269,0.0011668300497674159
277,0.001158492265441705
1817,0.0011440932909848062
1866,0.0011434672152937353
119,0.001140630657811856
1977,0.0011378797992101905
1808,0.001126110096919523
118,0.0011210042588411322
1049,0.001114310586154507
80,0.0011016520513204876
720,0.001094251441737855
1771,0.0010837637179388847
102,0.0010827986947854627
1897,0.00107213832539429
725,0.0010718652695384393
2021,0.0010586120906769304
1365,0.0010582640605431022
1030,0.0010573032021367764
1910,0.0010562917596723383
1535,0.0010539727851459676
361,0.0010311466602801979
1660,0.0010300906551573015
980,0.0010210037161191017
440,0.0010149396392313827
1964,0.0010107377010025501
1205,0.0010070023761224397
194,0.0010055641443347304
1951,0.0010039488786372569
1384,0.0009977741545388118
143,0.000993614394604489
66,0.0009851342460574567
1101,0.0009845808197643203
1274,0.0009784416695509698
1092,0.0009743693675752387
797,0.0009683948975992247
1905,0.0009597830965276514
1171,0.000952215340025416
1463,0.0009505224514888006
1321,0.0009486401784276187
552,0.0009439455993024256
1017,0.0009357389999499283
1803,0.0009328890419216397
201,0.0009291426685003538
2035,0.0009282645599184722
1472,0.000927696189704156
1816,0.000927670719946699
1879,0.0009254584386413806
383,0.0009213813356352255
130,0.0009174002491441415
1663,0.000915851030354893
2040,0.0009148350543905517
589,0.0009100126521657915
831,0.0009076003085476567
219,0.0009060824387754415
1823,0.0009026177133920798
790,0.0008921373899044705
1516,0.0008849345081656821
1370,0.0008837357012435414
1339,0.0008835366024675264
464,0.0008820338516064812
2009,0.0008813987493211597
94,0.0008670655177997763
